InputID,Traveller_ID,Location_Name,Rating
30719,705,"Jungle Beach",4
30720,706,"Jungle Beach",5
30721,526,"Jungle Beach",4
30722,707,"Jungle Beach",5
30723,708,"Jungle Beach",3
30724,709,"Jungle Beach",5
30725,710,"Jungle Beach",1
30726,711,"Jungle Beach",3
30727,712,"Jungle Beach",4
30728,507,"Jungle Beach",4
30729,713,"Jungle Beach",3
30730,714,"Jungle Beach",5
30731,715,"Jungle Beach",4
30732,716,"Jungle Beach",3
30733,717,"Jungle Beach",5
30734,718,"Jungle Beach",2
30735,719,"Jungle Beach",3
30736,720,"Jungle Beach",4
30737,721,"Jungle Beach",4
30738,722,"Jungle Beach",4
30739,723,"Jungle Beach",1
30740,523,"Jungle Beach",5
30741,724,"Jungle Beach",3
30742,725,"Jungle Beach",3
30743,726,"Jungle Beach",3
30744,727,"Jungle Beach",5
30745,728,"Jungle Beach",4
30746,729,"Jungle Beach",3
30747,730,"Jungle Beach",5
30748,731,"Jungle Beach",5
30749,732,"Jungle Beach",5
30750,733,"Jungle Beach",3
30751,734,"Jungle Beach",5
30752,735,"Jungle Beach",4
30753,736,"Jungle Beach",5
30754,737,"Jungle Beach",3
30755,738,"Jungle Beach",5
30756,739,"Jungle Beach",3
30757,740,"Jungle Beach",4
30758,741,"Jungle Beach",5
30759,742,"Jungle Beach",3
30760,743,"Jungle Beach",5
30761,744,"Jungle Beach",3
30762,745,"Jungle Beach",5
30763,746,"Jungle Beach",2
30764,747,"Jungle Beach",4
30765,748,"Jungle Beach",1
30766,749,"Jungle Beach",4
30767,750,"Jungle Beach",5
30768,751,"Jungle Beach",5
30769,752,"Jungle Beach",5
30770,753,"Jungle Beach",3
30771,754,"Jungle Beach",4
30772,755,"Jungle Beach",4
30773,756,"Jungle Beach",2
30774,757,"Jungle Beach",2
30775,758,"Jungle Beach",1
30776,759,"Jungle Beach",4
30777,760,"Jungle Beach",5
30778,761,"Jungle Beach",3
30779,762,"Jungle Beach",4
30780,55,"Jungle Beach",2
30781,532,"Jungle Beach",5
30782,763,"Jungle Beach",3
30783,568,"Jungle Beach",2
30784,764,"Jungle Beach",2
30785,765,"Jungle Beach",3
30786,766,"Jungle Beach",4
30787,767,"Jungle Beach",3
30788,768,"Jungle Beach",1
30789,769,"Jungle Beach",2
30790,770,"Jungle Beach",5
30791,771,"Jungle Beach",5
30792,772,"Jungle Beach",3
30793,773,"Jungle Beach",3
30794,774,"Jungle Beach",3
30795,775,"Jungle Beach",1
30796,776,"Jungle Beach",2
30797,777,"Jungle Beach",2
30798,778,"Jungle Beach",3
30799,779,"Jungle Beach",3
30800,780,"Jungle Beach",3
30801,781,"Jungle Beach",4
30802,782,"Jungle Beach",2
30803,783,"Jungle Beach",1
30804,784,"Jungle Beach",5
30805,785,"Jungle Beach",1
30806,786,"Jungle Beach",4
30807,787,"Jungle Beach",4
30808,788,"Jungle Beach",5
30809,789,"Jungle Beach",4
30810,790,"Jungle Beach",3
30811,791,"Jungle Beach",2
30812,792,"Jungle Beach",4
30813,9,"Jungle Beach",3
