InputID,Traveller_ID,activity,Traveller_Country,City,location_Type,rating,sentiment_comments,Travel_Year,Travel_month,month
44454,3891,Wildlife_photography,Australia,Ahangama,Farms,2,positive,2015,4,April
44486,3921,Wildlife_photography,"United Arab Emirates",Ahangama,Farms,5,positive,2015,9,September
44967,3923,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2015,9,September
44491,3926,Wildlife_photography,"United Kingdom",Ahangama,Farms,5,positive,2015,8,August
50886,3952,Wildlife_photography,Australia,Pinnawala,"Nature & Wildlife Areas",1,positive,2019,1,January
52165,4007,Wildlife_photography,"United Kingdom","Nuwara Eliya",Waterfalls,5,positive,2019,2,February
44637,4042,Wildlife_photography,"United Kingdom","Nuwara Eliya",Farms,4,positive,2018,2,February
50604,4046,Wildlife_photography,Malta,Sigiriya,"Nature & Wildlife Areas",5,positive,2018,2,February
52779,4064,Wildlife_photography,Indonesia,"Nuwara Eliya",Waterfalls,3,positive,2017,12,December
52811,4093,Wildlife_photography,"United States","Nuwara Eliya",Waterfalls,4,positive,2017,3,March
44723,4109,Wildlife_photography,Canada,"Nuwara Eliya",Farms,3,positive,2018,5,May
50420,4159,Wildlife_photography,"United Kingdom",Embilipitiya,"National Parks",5,positive,2019,10,October
44835,4198,Wildlife_photography,"United Kingdom",Beruwala,Gardens,4,positive,2019,10,October
44851,4213,Wildlife_photography,Sweden,Beruwala,Gardens,5,positive,2023,2,February
44862,4218,Wildlife_photography,Australia,Beruwala,Gardens,5,positive,2018,2,February
44863,4219,Wildlife_photography,"United Arab Emirates",Beruwala,Gardens,5,positive,2018,3,March
45776,4222,Wildlife_photography,"United Kingdom",Peradeniya,Gardens,5,positive,2019,1,January
44871,4224,Wildlife_photography,"Trinidad and Tobago",Beruwala,Gardens,5,positive,2019,1,January
44874,4225,Wildlife_photography,Australia,Beruwala,Gardens,4,positive,2019,1,January
44886,4236,Wildlife_photography,"United Kingdom",Beruwala,Gardens,3,positive,2017,4,April
44897,4247,Wildlife_photography,"United Kingdom",Beruwala,Gardens,4,positive,2016,2,February
44933,4278,Wildlife_photography,Japan,Beruwala,Gardens,5,positive,2016,11,November
44986,4327,Wildlife_photography,Australia,Beruwala,Gardens,5,positive,2015,1,January
44996,4337,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2014,12,December
44997,4338,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2014,12,December
45000,4341,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2014,11,November
45004,4345,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2014,9,September
45090,4350,Wildlife_photography,Australia,Beruwala,Gardens,4,positive,2013,9,September
