InputID,Traveller_ID,Photography,Travel_Year,Travel_month,month,rating
51860,8725,"No photography",2016,7,July,1
51861,8726,"No photography",2016,7,July,4
51862,8727,"No photography",2016,7,July,3
51863,8728,"No photography",2016,7,July,3
51864,8729,"No photography",2016,6,June,5
51865,8730,"No photography",2018,2,February,5
51866,1976,"No photography",2018,1,January,5
51867,8731,"No photography",2018,1,January,4
51868,8732,"No photography",2018,2,February,4
51869,7100,"No photography",2018,1,January,5
51870,8733,"No photography",2018,1,January,5
51871,8734,"No photography",2017,12,December,5
51872,8735,"No photography",2017,12,December,2
51873,1734,"No photography",2017,11,November,3
51874,1734,"No photography",2017,11,November,3
51875,8736,"No photography",2017,11,November,4
51876,4067,"No photography",2017,12,December,5
51877,8737,photography,2017,12,December,3
51878,8738,"No photography",2015,7,July,5
51879,8739,"No photography",2015,7,July,5
51880,8740,"No photography",2015,7,July,2
51881,7434,"No photography",2015,6,June,5
51882,5813,"No photography",2015,7,July,4
51883,8741,"No photography",2015,7,July,2
51884,8742,"No photography",2015,6,June,5
51885,8743,"No photography",2015,5,May,4
51886,3372,"No photography",2015,4,April,4
51887,8744,"No photography",2015,4,April,5
51888,4315,"No photography",2015,4,April,5
51889,8745,"No photography",2015,4,April,3
51890,8746,"No photography",2015,4,April,3
51891,649,"No photography",2015,2,February,5
51892,6685,"No photography",2016,2,February,5
51893,8747,"No photography",2015,8,August,4
51894,8748,"No photography",2016,2,February,5
51895,8749,photography,2016,1,January,5
51896,2558,"No photography",2016,2,February,5
51897,8750,"No photography",2016,2,February,3
51898,8751,"No photography",2016,2,February,3
51899,8752,"No photography",2015,7,July,5
51900,8753,"No photography",2016,1,January,5
51901,8754,"No photography",2016,1,January,4
51902,8755,"No photography",2015,12,December,4
51903,2564,"No photography",2015,12,December,2
51904,8756,"No photography",2016,1,January,3
51905,2564,"No photography",2015,12,December,1
51906,8757,"No photography",2015,12,December,5
51907,6869,"No photography",2015,12,December,3
51908,8758,"No photography",2015,11,November,5
51909,8759,"No photography",2015,11,November,4
51910,8760,"No photography",2016,6,June,5
51911,8761,"No photography",2016,6,June,4
51912,1765,"No photography",2016,6,June,5
51913,8762,"No photography",2016,5,May,5
51914,8763,"No photography",2016,4,April,5
51915,8764,"No photography",2016,4,April,2
